question_number,raw_text,options,full_text,source_file,source_type,is_koklu,raw_text_ocr,full_text_ocr,options_ocr,extraction_method,note,question_type,has_image,has_table,has_graph,has_encoding_issues,complexity,raw_text_cleaned,page,question_text,solution_text,has_keyword
2,Yukarıda verilen sayılardan kaç tanesi tam kare        8 100 puan üzerinden değerlendirilen bir sınavda tam kare sayıdır?                                                        bir not aldığı bilinen bir öğrenci aşağıdaki puanlardan,"A) 1         B)2         c)3         D)4                       hangisini almış olamaz?, A) 90          B) 81          C) 64          D) 49",Yukarıda verilen sayılardan kaç tanesi tam kare        8 100 puan üzerinden değerlendirilen bir sınavda tam kare sayıdır?                                                        bir not aldığı bilinen bir öğrenci aşağıdaki puanlardan A) 1         B)2         c)3         D)4                       hangisini almış olamaz? A) 90          B) 81          C) 64          D) 49,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,2.0,nan,,False
3,Aşağıdaki sayılardan hangisi tam kare sayıdır?       9! Yüzler basamağındaki rakamı 3 olan üç basamaklı,"A) 18         B) 21          C) 36           D) 72           kaç tane tam kare sayı vardır?, A) 3           B)4             C)5              D)2",Aşağıdaki sayılardan hangisi tam kare sayıdır?       9! Yüzler basamağındaki rakamı 3 olan üç basamaklı A) 18         B) 21          C) 36           D) 72           kaç tane tam kare sayı vardır? A) 3           B)4             C)5              D)2,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,2.0,nan,,False
4,Üç basamaklı en küçük ve en büyük tam kare sayı-  10)  111 sayısına en az kaç eklenirse bir tam kare sayı ların toplamı kaçtır?                                                elde edilir? ) 190          ) 36           ©) 96            ) 1061         A) 9           B) 10             C)11              D) 12 hangisidir?                                                       en küçük tam kare sayının farkı kaçtır ?,"A) 1           B) 361                1         D) 1, A) 10         B) 22         C) 40           D) 52           A) 48          B) 65          © 77           D) 84",Üç basamaklı en küçük ve en büyük tam kare sayı-  10)  111 sayısına en az kaç eklenirse bir tam kare sayı ların toplamı kaçtır?                                                elde edilir? A)1           B) 361                1         D) 1 ) 190          ) 36           ©) 96            ) 1061         A) 9           B) 10             C)11              D) 12 hangisidir?                                                       en küçük tam kare sayının farkı kaçtır ? A) 10         B) 22         C) 40           D) 52           A) 48          B) 65          © 77           D) 84,karekok.pdf,pdf_karekok,True,<s — — O 1 2 3 4                        gisi yanlıştır? 68! Yukarıdaki sayı doğrusunda gösterilen                A) A sayısı V18 olabilir. sayılardan hangisinin yeri yanlış göste- rilmiştir?                                        B) B sayısı V33 olabilir. Cc) V3           D) MO                          D) D sayısı V79 olabilir.,<s — — O 1 2 3 4                        gisi yanlıştır? 68! Yukarıdaki sayı doğrusunda gösterilen                A) A sayısı V18 olabilir. sayılardan hangisinin yeri yanlış göste- rilmiştir?                                        B) B sayısı V33 olabilir. A) 43          B) N5                          C) C sayısı V75 olabilir. Cc) V3           D) MO                          D) D sayısı V79 olabilir.,['A) 43          B) N5                          C) C sayısı V75 olabilir.'],hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,yüksek,,2.0,nan,,False
6,|  İki basamaklı bir tam kare sayının rakamları toplamı 12  Aynı ebattaki 230 tane kare fayansa en az kaç tane en fazla kaç olur?                                                 daha bu fayanslardan eklenirse kare şeklindeki bir i                                 ?,"A) 9          B) 15             013             D)7         zemin fayansla tamamen kaplanır?, A) 22       B) 24         C) 26         D) 28",|  İki basamaklı bir tam kare sayının rakamları toplamı 12  Aynı ebattaki 230 tane kare fayansa en az kaç tane en fazla kaç olur?                                                 daha bu fayanslardan eklenirse kare şeklindeki bir i                                 ? A) 9          B) 15             013             D)7         zemin fayansla tamamen kaplanır? A) 22       B) 24         C) 26         D) 28,karekok.pdf,pdf_karekok,True,7 8 9 1011 1213 67!  y61 sayısının yaklaşık değeri aşağıda-             KEİ sayı doğrusunda 6 noktasının üzerinde duran kilerden hangisidir?                                        araç YI? br sağa giderse hangi noktalar A        B         C      D a 0 0 0 ——— 0 —> > WE           Ky                             3 4 5 6 7 8 9 li        li             li     İ                      74)  Yukarıdaki sayı doğrusunda işaretlenen noktalar için aşağıda verilenlerden han-,"7 8 9 1011 1213 67!  y61 sayısının yaklaşık değeri aşağıda-             KEİ sayı doğrusunda 6 noktasının üzerinde duran kilerden hangisidir?                                        araç YI? br sağa giderse hangi noktalar A) 6,9      B74 ©)7,5      D) 7,8                        arasına gelmiş olur? A) 6 ile 7                B) 7 ile8 C) 8ile9                D) 9ile 10 A        B         C      D a 0 0 0 ——— 0 —> > WE           Ky                             3 4 5 6 7 8 9 li        li             li     İ                      74)  Yukarıdaki sayı doğrusunda işaretlenen noktalar için aşağıda verilenlerden han-","['A) 6,9      B74 ©)7,5      D) 7,8                        arasına gelmiş olur?', 'A) 6 ile 7                B) 7 ile8', 'C) 8ile9                D) 9ile 10']",hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,2.0,nan,,False
13,zanna işleminin sonucu aşağıdaki-      19) 80<a<90 şartını sağlayan a tam sayısı tam lerden hangisidir?                                     kare bir sayı olduğuna göre va ifadesinin de- geri aşağıdakilerden hangisidir? A2          B)3          C)5            D)9             ger aşağ                   9,A) 6          B) 7          C)8            D) 9,zanna işleminin sonucu aşağıdaki-      19) 80<a<90 şartını sağlayan a tam sayısı tam lerden hangisidir?                                     kare bir sayı olduğuna göre va ifadesinin de- geri aşağıdakilerden hangisidir? A2          B)3          C)5            D)9             ger aşağ                   9 A) 6          B) 7          C)8            D) 9,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,3.0,nan,,False
20,240 ile bir A sayısının çarpımı tam kare sayı-,,240 ile bir A sayısının çarpımı tam kare sayı-,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,düşük,,3.0,nan,,False
14,Üç basamaklı tam kare sayıların kaç tanesinin bir-        dır. ler basamağında 4 rakamı bulunur?                             Buna göre A'nın alabileceği en küçük doğal,"A) 4          B)5             g6             D)7           sayı değeri kaçtır?, A) 3        B)5         C) 15        D) 20",Üç basamaklı tam kare sayıların kaç tanesinin bir-        dır. ler basamağında 4 rakamı bulunur?                             Buna göre A'nın alabileceği en küçük doğal A) 4          B)5             g6             D)7           sayı değeri kaçtır? A)3        B)5         C) 15        D) 20,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,3.0,nan,,False
15,V/16-*- vV25—y1 işleminin sonucu aşağıdaki-  Ep ab6 üç basamaklı tam kare bir doğal sayıdır. Buna göre lerden hangisidir?                                          kaç farklı ab6 sayısı yazılabilir?,A) 8        B) 10        C) 28          D) 40          A)2            B)3             C)4             D)6,V/16-*- vV25—y1 işleminin sonucu aşağıdaki-  Ep ab6 üç basamaklı tam kare bir doğal sayıdır. Buna göre lerden hangisidir?                                          kaç farklı ab6 sayısı yazılabilir? A)8        B) 10        C) 28          D) 40          A)2            B)3             C)4             D)6,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,3.0,nan,,False
22,Alanı 64 m? olan kare şeklindeki bir tarlanın çevresi kaç metredir?,,Alanı 64 m? olan kare şeklindeki bir tarlanın çevresi kaç metredir?,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,düşük,,3.0,nan,,False
16,V289 Ile v144 arasında kaç tane doğal sayı                 A)20             B)32             C)40             D)48 vardır? A               D Üç basamaklı ab sayısı tam kare bir sayı olduğuna göre a * b ifadesinin alabileceği kaç farklı değer vardır?                                                                  B                    c,"A) 5             B)3              CA              D)G, A) 2       B)3            C)4            D)5                                      E",V289 Ile v144 arasında kaç tane doğal sayı                 A)20             B)32             C)40             D)48 vardır? A)5             B)3              CA              D)G A               D Üç basamaklı ab sayısı tam kare bir sayı olduğuna göre a * b ifadesinin alabileceği kaç farklı değer vardır?                                                                  B                    c A)2       B)3            C)4            D)5                                      E,karekok.pdf,pdf_karekok,True,25 V36 64                                                  9 16 39| işleminin sonucu aşağıdakilerden hangisidir?     46! işleminin sonucu kaçtır?,25 V36 64                                                  9 16 39| işleminin sonucu aşağıdakilerden hangisidir?     46! işleminin sonucu kaçtır?,,hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,3.0,nan,,False
23,Yukarıda verilen ABCD karesinin alanı 169cm” ve EFKC karesinin alanı 64cm” 'dir. Buna göre BEF üçgeninin alanı kaç cm” olur? LL —N49 -—7,A) 48        B) 40         C) 24           D) 20,Yukarıda verilen ABCD karesinin alanı 169cm” ve EFKC karesinin alanı 64cm” 'dir. Buna göre BEF üçgeninin alanı kaç cm” olur? A) 48        B) 40         C) 24           D) 20 LL —N49 -—7,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,düşük,,3.0,nan,,False
25,Üç basamaklı bir tam kare sayı iki basamaklı bir tam  31 Aşağıdakileren hangisi tam kare sayı değildir? kare sayıdan en az kaç fazladır?,"A) V16        B) 64        C) V81        D) V256, A) 18              B)19              C)20              D)21",Üç basamaklı bir tam kare sayı iki basamaklı bir tam  31 Aşağıdakileren hangisi tam kare sayı değildir? kare sayıdan en az kaç fazladır? A) V16        B) 64        C) V81        D) V256 A)18              B)19              C)20              D)21,karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,orta,,4.0,nan,,False
26,"Alanı 81m? olan kare şeklindeki bir bahçe-         32)  Aşağıdaki sayılardan hangisi, kenar uzun- nin etrafına 3 sıra dikenli tel çekilecektir. Bu                luğu tam sayı olmayan bir karenin alanını bahçe için kullanılacak dikenli telin uzunlu-               gösterir? ğu kaç metredir? 27! Bir basamaklı en büyük tam kare sayı ile üç basamaklı   33)  A pozitif bir tam sayıdır. en küçük tamkare sayının toplamı kaçtır?                                 a A bir tam kare sayı ise şeklinde tanımlanıyor. Buna göre, 4 pa Babası Ali'ye ekim ayının yalnızca tam kare        34) ab iki basamaklı doğal sayıdır. Vab tam kare bir sayı olan günlerinde yirmişer lira harçlık                     sayıya eşit olduğuna göre a * b en fazla kaçtır? vermiştir. Ali, ekim ayında toplam kaç lira harçlık almıştır?                                                  A) 7          B) 9           C) 10         D) 13","A) 27             B)36             C)108             D)243         A) 16        B) 25         C)32         D) 49, A) 130               B)125               C)116                 D)109                      YA -*-3, A tam kare sayı değilse,, A) 27              B)28              C)29              D)30, A) 40             B)60             C)100            D)120","Alanı 81m? olan kare şeklindeki bir bahçe-         32)  Aşağıdaki sayılardan hangisi, kenar uzun- nin etrafına 3 sıra dikenli tel çekilecektir. Bu                luğu tam sayı olmayan bir karenin alanını bahçe için kullanılacak dikenli telin uzunlu-               gösterir? ğu kaç metredir? A)27             B)36             C)108             D)243         A) 16        B) 25         C)32         D) 49 27! Bir basamaklı en büyük tam kare sayı ile üç basamaklı   33)  A pozitif bir tam sayıdır. en küçük tamkare sayının toplamı kaçtır?                                 a A bir tam kare sayı ise A)130               B)125               C)116                 D)109                      YA -*-3, A tam kare sayı değilse, şeklinde tanımlanıyor. Buna göre, 4 A)27              B)28              C)29              D)30 pa Babası Ali'ye ekim ayının yalnızca tam kare        34) ab iki basamaklı doğal sayıdır. Vab tam kare bir sayı olan günlerinde yirmişer lira harçlık                     sayıya eşit olduğuna göre a * b en fazla kaçtır? vermiştir. Ali, ekim ayında toplam kaç lira harçlık almıştır?                                                  A) 7          B) 9           C) 10         D) 13 A)40             B)60             C)100            D)120",karekok.pdf,pdf_karekok,True,,,,ocr,,yeni_nesil,True,False,False,False,yüksek,,4.0,nan,,False
